m,time
15000,0.0142363
11262750,0.753978
22510500,1.45356
33758250,2.20706
45006000,2.9034
56253750,3.7041
67501500,4.79273
78749250,5.13577
89997000,5.86891
101244750,6.64787
112492500,7.84286
