m,time
15000,0.00052511
11262750,0.362877
22510500,0.726933
33758250,1.09738
45006000,1.44941
56253750,1.80457
67501500,2.23178
78749250,2.53947
89997000,2.88508
101244750,3.28151
112492500,3.64401
